Metric,Value
Agent Type,DRL_Simple
Completion Time (s),40.42
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),9.74315
Steering Angle Mean (deg),37.09
Path Deviation Mean (m),2.51
