Metric,Value
Agent Type,DRL_Simple
Completion Time (s),40.163
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),13.95032
Steering Angle Mean (deg),-11.86
Path Deviation Mean (m),0.47
