Metric,Value
Agent Type,DRL_Simple
Completion Time (s),38.687
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),12.4073
Steering Angle Mean (deg),35.78
Path Deviation Mean (m),11.37
