Metric,Value
Agent Type,DRL_Simple
Completion Time (s),39.444
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),16.13159
Steering Angle Mean (deg),17.79
Path Deviation Mean (m),3.24
