Metric,Value
Agent Type,DRL_Natural
Completion Time (s),43.332
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),12.6012
Steering Angle Mean (deg),21.99
Path Deviation Mean (m),0.0
