Metric,Value
Agent Type,DRL_Natural
Completion Time (s),40.912
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),10.76973
Steering Angle Mean (deg),6.32
Path Deviation Mean (m),4.8
