Metric,Value
Agent Type,DRL_Natural
Completion Time (s),44.309
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),11.67244
Steering Angle Mean (deg),8.38
Path Deviation Mean (m),1.91
