Metric,Value
Agent Type,DRL_Natural
Completion Time (s),43.706
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),11.7238
Steering Angle Mean (deg),-28.0
Path Deviation Mean (m),7.34
