Metric,Value
Agent Type,Manual_Player
Completion Time (s),39.998
Collision Count,0
Distance Traveled (m),
Average Speed (m/s),14.85835
Steering Angle Mean (deg),-4.11
Path Deviation Mean (m),5.99
